hip-angle,knee-angle,ankle-angle,phase
1.454236898,3.339288561,62.18865059,1
1.605512435,1.711029405,63.91440022,1
3.719327107,4.553563247,54.58361961,1
2.73537248,2.246876877,18.86691704,1
2.754730904,8.130102354,49.47368577,1
2.269480035,3.592883963,48.61960679,1
3.188781536,6.642819876,49.6671126,1
4.53004696,7.831984878,44.80680687,1
4.53004696,14.43287884,74.36276301,1
3.737629543,15.32691789,73.00333093,1
3.248762021,4.996760665,72.63905749,1
3.670848946,18.70310184,73.57941168,1
10.08887875,19.05217836,68.70390984,1
8.566943158,15.38425999,65.99383184,1
8.103891396,14.92752077,66.46950874,1
7.328539308,14.46958469,65.99383184,1
6.794042538,13.47773203,65.52833295,1
6.021465286,13.02115725,64.68653678,1
5.388840536,12.6846831,64.68653678,1
4.617067096,12.30420578,64.77193115,1
2.479999717,12.36670259,66.72298154,1
2.460522399,12.31515266,67.49678259,1
2.155491523,12.31515266,67.49678259,1
1.850686263,12.31515266,67.03485832,1
1.31311163,11.32817373,66.56252129,1
1.267728843,11.28279094,66.56252129,1
2.035210907,11.74384614,65.24504822,1
2.34186702,11.74384614,65.24504822,1
2.648735054,11.74384614,65.24504822,1
2.648735054,11.74384614,65.24504822,1
1.836154165,11.28580032,64.46522117,1
2.600434363,11.74321248,64.46522117,1
2.600434363,11.74321248,64.95681419,1
3.17983012,12.25688392,64.90914716,1
2.479999717,11.84281564,64.90914716,1
2.479999717,11.89048266,64.95681419,1
2.549979426,11.94119033,64.95681419,1
